id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
99965,,50.8133,25.6786,21,0,0,0,0,0,0,0,0
99970,,50.7697,25.7469,21,0,0,0,0,0,0,0,0
99975,,50.5733,25.8097,21,0,0,0,0,0,0,0,0
99980,,50.6272,26.2889,21,0,0,0,0,0,0,0,0
99985,,-59.5331,13.0506,21,0,0,0,0,0,0,0,0
99990,,-64.6433,32.3544,21,0,0,0,0,0,0,0,0
99995,,-64.8583,32.2668,21,0,0,0,0,0,0,0,0
991000,,-73.0244,21.3325,21,0,0,0,0,0,0,0,0
991005,,-72.9247,21.4836,21,0,0,0,0,0,0,0,0
991010,,-73.6103,22.5797,21,0,0,0,0,0,0,0,0
991015,,-73.5514,22.6122,21,0,0,0,0,0,0,0,0
991020,,-74.28,22.6625,21,0,0,0,0,0,0,0,0
991025,,-73.8472,22.7236,21,0,0,0,0,0,0,0,0
991030,,-73.7289,23.0706,21,0,0,0,0,0,0,0,0
991035,,-75.525,23.4044,21,0,0,0,0,0,0,0,0
991040,,-74.8306,22.8608,21,0,0,0,0,0,0,0,0
991045,,-75.772,23.4997,21,0,0,0,0,0,0,0,0
991050,,-76.3639,24.0722,21,0,0,0,0,0,0,0,0
991055,,-74.5269,24.1008,21,0,0,0,0,0,0,0,0
991060,,-77.8003,24.2533,21,0,0,0,0,0,0,0,0
991065,,-77.9367,24.2258,21,0,0,0,0,0,0,0,0
991070,,-77.7356,24.0286,21,0,0,0,0,0,0,0,0
991075,,-77.7356,24.0286,21,0,0,0,0,0,0,0,0
991080,,-75.3147,24.2139,21,0,0,0,0,0,0,0,0
991085,,-77.5614,25.0275,21,0,0,0,0,0,0,0,0
991090,,-78.0214,24.2728,21,0,0,0,0,0,0,0,0
991095,,-76.3497,25.3433,21,0,0,0,0,0,0,0,0
991100,,-76.7158,25.4417,21,0,0,0,0,0,0,0,0
991105,,-77.8564,25.7753,21,0,0,0,0,0,0,0,0
991110,,-77.5633,26.2689,21,0,0,0,0,0,0,0,0
991115,,-77.735,26.9144,21,0,0,0,0,0,0,0,0
991120,,-77.9503,26.8978,21,0,0,0,0,0,0,0,0
991125,,91.8975,21.4767,21,0,0,0,0,0,0,0,0
991130,,90.4325,21.82,21,0,0,0,0,0,0,0,0
991135,,89.0505,21.9147,21,0,0,0,0,0,0,0,0
991140,,90.7622,21.9064,21,0,0,0,0,0,0,0,0
991145,,91.8328,21.7222,21,0,0,0,0,0,0,0,0
991150,,90.6991,21.9547,21,0,0,0,0,0,0,0,0
991155,,90.5197,21.9356,21,0,0,0,0,0,0,0,0
991160,,90.485,21.965,21,0,0,0,0,0,0,0,0
991165,,90.3741,22.01,21,0,0,0,0,0,0,0,0
991170,,90.5169,22.1622,21,0,0,0,0,0,0,0,0
991175,,90.9147,22.1319,21,0,0,0,0,0,0,0,0
991180,,90.9917,22.2592,21,0,0,0,0,0,0,0,0
991185,,90.9494,22.2214,21,0,0,0,0,0,0,0,0
991190,,90.6603,22.3564,21,0,0,0,0,0,0,0,0
991195,,91.0181,22.4147,21,0,0,0,0,0,0,0,0
991200,,91.1686,22.4614,21,0,0,0,0,0,0,0,0
991205,,91.0075,22.425,21,0,0,0,0,0,0,0,0
991210,,91.0317,22.0842,21,0,0,0,0,0,0,0,0
991215,,91.4083,22.4722,21,0,0,0,0,0,0,0,0
991220,,91.3047,22.6283,21,0,0,0,0,0,0,0,0
991225,,90.6428,22.5531,21,0,0,0,0,0,0,0,0
991230,,90.5472,22.7194,21,0,0,0,0,0,0,0,0
991235,,90.6622,22.9564,21,0,0,0,0,0,0,0,0
991240,,90.6622,22.9564,21,0,0,0,0,0,0,0,0
